Waktu (Harian),Jumlah Kendaraan
1,1559
2,1041
3,1039
4,4328
5,4747
6,5424
7,2627
8,1374
9,1994
10,958
11,838
12,1308
13,3299
14,2842
15,3307
16,1728
17,1274
18,1435
19,4007
20,3197
21,3830
22,3199
23,2863
24,1892
25,925
26,1020
27,686
28,3957
29,4233
30,4423
31,5407
32,4840
33,6075
34,4032
35,3432
36,5662
37,9331
38,6659
39,7427
40,5041
41,2942
42,4048
43,3041
44,2366
45,2995
46,4490
47,3236
48,5167
49,4114
50,3779
51,4785
52,9979
53,7936
54,10610
55,2678
56,1995
57,1557
58,1537
59,1315
60,1510
61,1285
62,1243
63,1480
64,3869
65,2791
66,3601
67,2292
68,1352
69,1907
70,5662
71,4246
72,4639
73,1023
74,1279
75,1300
76,1164
77,1025
78,582
79,3948
80,4776
81,4196
82,2421
83,1798
84,1754
85,4300
86,4331
87,3370
88,1119
89,1283
90,953
91,933
92,1017
93,965
94,1132
95,1047
96,1281
97,1442
98,1412
99,1059
100,2088
101,1645
102,1254
103,3481
104,3491
105,3116
106,1691
107,1642
108,1333
109,1484
110,1831
111,1425
112,1759
113,1452
114,1831
115,1381
116,2225
117,1532
118,1332
119,1230
120,1259
121,2946
122,2476
123,2888
124,2674
125,2724
126,2799
127,1414
128,1354
129,1489
130,1553
131,1549
132,1476
133,6051
134,5276
135,4406
136,2196
137,1727
138,1745
139,2316
140,2477
141,1314
142,2133
143,2050
144,1838
145,1802
146,1941
147,1826
148,1623
149,1934
150,2060
151,3462
152,4035
153,3844
154,2416
155,2990
156,2202
157,727
158,1002
159,662
160,4075
161,4995
162,4336
163,3632
164,3609
165,3386
166,2406
167,2344
168,1407
169,3028
170,2010
171,1835
172,1550
173,1358
174,1537
175,1220
176,1368
177,1390
178,1473
179,1334
180,1281
181,1201
182,1323
183,1328
184,808
185,804
186,789
187,766
188,952
189,867
190,650
191,524
192,647
193,1663
194,1571
195,911
196,202
197,557
198,409
199,2295
200,2991
201,2104
202,3348
203,3509
204,1827
205,1540
206,1863
207,1106
208,422
209,684
210,660
211,2098
212,2412
213,1471
214,779
215,968
216,622
217,2086
218,2537
219,1541
220,534
221,1771
222,745
223,29
224,719
225,516
226,2689
227,2555
228,1821
229,2941
230,3848
231,2830
232,1589
233,2195
234,1602
235,4739
236,5095
237,2457
238,1722
239,2521
240,1401
241,176
242,1143
243,577
244,3512
245,4736
246,2724
247,1584
248,2801
249,1538
250,8164
251,10052
252,5907
253,1243
254,1399
255,577
256,1648
257,2354
258,1462
259,509
260,1308
261,444
262,1111
263,741
264,1030
265,4250
266,4560
267,6025
268,2727
269,1555
270,1434
271,5541
272,4338
273,4707
274,1239
275,1025
276,1073
277,1187
278,950
279,1211
280,1386
281,1390
282,1491
283,1824
284,1209
285,1465
286,2387
287,1801
288,1792
289,1482
290,1246
291,991
292,1044
293,2758
294,2040
295,3027
296,2581
297,2362
298,3475
299,1259
300,1271
301,2161
302,6855
303,5344
304,4875
305,2349
306,1640
307,2063
308,2827
309,2207
310,2833
311,2431
312,1604
313,2363
314,1953
315,1773
316,2242
317,2088
318,1992
319,2734
320,3667
321,3906
322,5002
323,2841
324,3143
325,3792
326,991
327,642
328,849
329,5127
330,4492
331,7015
332,5213
333,4018
334,5743
335,2595
336,2152
337,1712
338,3326
339,1632
340,1505
341,1732
342,1584
343,1480
344,1516
345,1274
346,1506
347,1392
348,1202
349,1706
350,1442
351,1143
352,1276
353,1231
354,699
355,886
356,926
357,633
358,837
359,833
360,589
361,647
362,1035
363,832
364,830
365,3867
366,4376
367,5627
368,2749
369,1775
370,1780
371,5763
372,4300
373,4767
374,1330
375,819
376,1460
377,1330
378,819
379,1460
380,1233
381,1128
382,1455
383,2228
384,1604
385,1716
386,1739
387,1195
388,1531
389,3477
390,3138
391,3874
392,1668
393,1227
394,1683
395,349
396,825
397,1071
398,142
399,545
400,1127
401,1416
402,1322
403,1606
404,1894
405,1277
406,1640
407,1983
408,2435
409,1576
410,1211
411,1076
412,1115
413,1095
414,964
415,945
416,2582
417,2045
418,2931
419,2505
420,2387
421,3007
422,1244
423,1071
424,2181
425,1726
426,1279
427,1972
428,5843
429,4648
430,5308
431,2157
432,1244
433,2157
434,3158
435,2272
436,2889
437,2376
438,1256
439,2084
440,1906
441,1012
442,2128
443,2165
444,1715
445,2687
446,3840
447,3855
448,5160
449,2864
450,2764
451,3592
452,1111
453,818
454,627
455,4840
456,5108
457,6672
458,4893
459,3695
460,5191
461,2469
462,2052
463,1566
464,2761
465,1780
466,1675
467,2101
468,1526
469,1307
470,1167
471,1156
472,1484
473,987
474,1212
475,1593
476,1125
477,1094
478,1359
479,918
480,635
481,1101
482,827
483,815
484,964
485,599
486,507
487,747
488,1966
489,1796
490,1903
491,767
492,709
493,705
494,3648
495,4212
496,5419
497,5555
498,4202
499,2959
500,1235
501,1107
502,1166
503,1297
504,1032
505,1337
506,3394
507,3025
508,3349
509,1906
510,1293
511,1544
512,3816
513,3232
514,3717
515,1851
516,2410
517,2567
518,532
519,875
520,1053
521,5118
522,5873
523,5465
524,1322
525,1002
526,1091
527,5441
528,4439
529,6397
530,4005
531,3426
532,5420
533,9330
534,7008
535,8469
536,2327
537,1635
538,2792
539,2175
540,1635
541,2331
542,4998
543,7211
544,2589
545,3326
546,3374
547,5377
548,13946
549,10432
550,18812
551,1927
552,1666
553,3179
554,3692
555,2758
556,4814
557,974
558,966
559,2330
560,632
561,655
562,451
563,2862
564,1848
565,1806
566,3744
567,4394
568,5421
569,5657
570,4240
571,4777
572,1197
573,1284
574,1174
575,1085
576,1101
577,1358
578,1563
579,1344
580,1499
581,1662
582,1235
583,1514
584,2287
585,1616
586,1766
587,2808
588,3257
589,3675
590,998
591,1587
592,1646
593,340
594,1090
595,1018
596,388
597,1427
598,1139
599,1568
600,1561
601,1451
602,1699
603,1706
604,1746
605,1965
606,2477
607,1878
608,970
609,983
610,1113
611,1317
612,995
613,1233
614,2955
615,1968
616,3684
617,2410
618,2490
619,3175
620,1260
621,1174
622,1921
623,1917
624,1696
625,1900
626,6753
627,5043
628,5339
629,2083
630,1648
631,2054
632,2899
633,2268
634,2824
635,2347
636,1718
637,1954
638,1767
639,1734
640,2313
641,1852
642,1725
643,2500
644,3633
645,3733
646,5739
647,2359
648,2598
649,3208
650,1021
651,792
652,1090
653,4445
654,4801
655,6963
656,3645
657,3305
658,5452
659,2493
660,1797
661,1644
662,1911
663,1778
664,1814
665,1880
666,1451
667,1404
668,1496
669,1302
670,1636
671,1984
672,1240
673,1407
674,1231
675,1098
676,1329
677,734
678,692
679,1061
680,992
681,784
682,800
683,489
684,569
685,661
686,1383
687,465
688,820
689,4130
690,2407
691,7069
692,1930
693,1181
694,1707
695,4022
696,2420
697,3414
698,2058
699,1747
700,2386
701,405
702,723
703,951
704,4840
705,3695
706,4893
707,942
708,740
709,1232
710,5787
711,3424
712,6174
713,4497
714,2136
715,5418
716,5226
717,3400
718,3982
719,1327
720,820
721,1033
722,9171
723,4849
724,8440
725,4850
726,2326
727,4660
728,2206
729,1009
730,2300
